title,mpaa_rating,budget,log_budget,opening_weekend,runtime,theaters,year
Slumdog Millionaire,R,14000000,7.15,360018,120,10,2008
The Curious Case of Benjamin Button,PG-13,160000000,8.2,26853816,166,2988,2008
Valkyrie,PG-13,90000000,7.95,21027007,121,2711,2008
Bedtime Stories,PG,80000000,7.9,27450296,99,3681,2008
The Spirit,PG-13,60000000,7.78,6463278,103,2509,2008
Doubt,PG-13,20000000,7.3,507226,104,15,2008
There Will Be Blood,R,25000000,7.4,190739,158,2,2008
Rambo,R,47500000,7.68,18203876,92,2751,2008
Untraceable,R,35000000,7.54,11354069,101,2368,2008
Meet the Spartans,PG-13,30000000,7.48,18505530,86,2605,2008
How She Move,PG-13,17000000,7.23,3957471,94,1531,2008
Step Brothers,R,65000000,7.81,30940732,98,3094,2008
The X Files: I Want to Believe,PG-13,35000000,7.54,10021753,104,3185,2008
Australia,PG-13,130000000,8.11,14800723,165,2642,2008
Four Christmases,PG-13,80000000,7.9,31069826,88,3310,2008
The Boy in the Striped Pajamas,PG-13,12500000,7.1,253085,94,17,2008
Eagle Eye,PG-13,80000000,7.9,29150721,118,3510,2008
Miracle at St. Anna,R,45000000,7.65,3477996,160,1185,2008
The Lucky Ones,R,14000000,7.15,183088,115,425,2008
Traitor,PG-13,22000000,7.34,7868465,114,2054,2008
Hamlet 2,R,9000000,6.95,439925,92,103,2008
WALL��E,G,180000000,8.26,63087526,98,3992,2008
Wanted,R,75000000,7.88,50927085,110,3175,2008
Winter in Wartime,R,5800000,6.76,14037,103,3,2008
Superhero Movie,PG-13,35000000,7.54,9510297,75,2960,2008
Stop-Loss,R,25000000,7.4,4555117,112,1291,2008
Married Life,PG-13,12000000,7.08,55851,91,9,2008
"Run, Fatboy, Run",PG-13,10000000,7,2340743,100,1133,2008
Babylon A.D.,PG-13,45000000,7.65,9484627,90,3390,2008
Disaster Movie,PG-13,20000000,7.3,5836973,87,2642,2008
College,R,6000000,6.78,2153109,94,2123,2008
Semi-Pro,R,55000000,7.74,15075114,91,3121,2008
The Other Boleyn Girl,PG-13,40000000,7.6,8203061,115,1166,2008
In Bruges,R,15000000,7.18,457227,107,28,2008
Sex and the City,R,57500000,7.76,56848056,145,3285,2008
The Strangers,R,9000000,6.95,20997985,86,2467,2008
CJ7,PG,20000000,7.3,49770,86,19,2008
Changeling,R,55000000,7.74,489015,141,15,2008
What Just Happened,R,27000000,7.43,192508,104,36,2008
Zack and Miri Make a Porno,R,24000000,7.38,10065630,101,2735,2008
RocknRolla,R,18000000,7.26,144701,114,7,2008
The Haunting of Molly Hartley,PG-13,5000000,6.7,5423315,82,2652,2008
Public Enemies,R,102500000,8.01,25271675,140,3334,2009
Ice Age: Dawn of the Dinosaurs,PG,90000000,7.95,41690382,94,4099,2009
X-Men Origins: Wolverine,PG-13,150000000,8.18,85058003,107,4099,2009
Capitalism: A Love Story,R,20000000,7.3,231964,127,4,2009
Zombieland,R,23600000,7.37,24733155,88,3036,2009
The Invention of Lying,PG-13,18500000,7.27,7027472,100,1707,2009
Whip It,PG-13,15000000,7.18,4650812,111,1721,2009
[Rec] 2,R,5600000,6.75,8191,85,5,2009
Adventureland,R,9800000,6.99,5722039,107,1862,2009
Whatever Works,PG-13,15000000,7.18,266162,92,9,2009
Red Cliff,R,40000000,7.6,13104,148,2,2009
The Messenger,R,6500000,6.81,44523,113,4,2009
Brothers,R,26000000,7.41,9527848,105,2088,2009
Everybody's Fine,PG-13,20000000,7.3,3852068,99,2133,2009
Armored,PG-13,20000000,7.3,6511128,88,1915,2009
Brothers,R,13000000,7.11,357404,105,164,2009
Gamer,R,50000000,7.7,9156057,95,2502,2009
All About Steve,PG-13,15000000,7.18,11241214,99,2251,2009
Extract,R,7500000,6.88,4340108,92,1611,2009
Land of the Lost,PG-13,100000000,8,18837350,102,3521,2009
The Hangover,R,35000000,7.54,44979319,100,3269,2009
My Life in Ruins,PG-13,17000000,7.23,3223161,95,1164,2009
The Greatest,R,6000000,6.78,33616,99,8,2009
Coraline,PG,60000000,7.78,16849640,100,2299,2009
He's Just Not That Into You,PG-13,40000000,7.6,27785487,129,3175,2009
Push,PG-13,38000000,7.58,10079109,111,2313,2009
Watchmen,R,138000000,8.14,55214334,162,3611,2009
A Serious Man,R,7000000,6.85,251337,106,6,2009
The Box,PG-13,25000000,7.4,7571417,115,2635,2009
The Men Who Stare at Goats,R,24000000,7.38,12706654,94,2443,2009
The Fourth Kind,PG-13,10000000,7,12231160,98,2527,2009
(500) Days of Summer,PG-13,7500000,6.88,834501,95,27,2009
G.I. Joe: The Rise of Cobra,PG-13,175000000,8.24,54713046,118,4007,2009
A Perfect Getaway,R,14000000,7.15,5948555,98,2159,2009
Grace,R,5000000,6.7,6174,85,2,2009
Star Trek,PG-13,140000000,8.15,79204289,127,3849,2009
Stuck,R,5000000,6.7,8844,85,2,2009
Gran Torino,R,25000000,7.4,271720,116,6,2009
Bride Wars,PG,30000000,7.48,21058173,89,3226,2009
The Unborn,PG-13,16000000,7.2,19810585,88,2357,2009
Not Easily Broken,PG-13,5000000,6.7,5314278,99,724,2009
Bright Star,PG,8500000,6.93,189703,119,19,2009
Couples Retreat,PG-13,60000000,7.78,34286740,113,3000,2009
Agora,R,70000000,7.85,33262,127,2,2009
Hannah Montana: The Movie,G,30000000,7.48,32324487,102,3118,2009
Observe and Report,R,18000000,7.26,11017334,86,2727,2009
Moon,R,5000000,6.7,136046,97,8,2009
Br�_no,R,42000000,7.62,30619130,81,2756,2009
"I Love You, Beth Cooper",PG-13,18000000,7.26,4919433,102,1858,2009
The Princess and the Frog,G,105000000,8.02,786190,97,2,2009
Bad Lieutenant: Port of Call New Orleans,R,25000000,7.4,245398,122,27,2009
Invictus,PG-13,60000000,7.78,8611147,134,2125,2009
The Secret of Kells,NOT RATED,8000000,6.9,39826,75,1,2009
Whiteout,R,35000000,7.54,4915104,101,2745,2009
I Can Do Bad All by Myself,PG-13,19000000,7.28,23446785,113,2255,2009
Sorority Row,R,12500000,7.1,5059802,101,2665,2009
Imagine That,PG,55000000,7.74,5503519,107,3008,2009
The International,R,50000000,7.7,9331739,118,2364,2009
Race to Witch Mountain,PG,50000000,7.7,24402214,98,3187,2009
The Last House on the Left,R,15000000,7.18,14118685,110,2401,2009
Miss March,R,6000000,6.78,2409156,90,1742,2009
2012,PG-13,200000000,8.3,65237614,158,3404,2009
The Time Traveler's Wife,PG-13,39000000,7.59,18623171,107,2988,2009
District 9,R,30000000,7.48,37354308,112,3049,2009
Bandslam,PG,20000000,7.3,2231273,111,2121,2009
"The Goods: Live Hard, Sell Hard",R,10000000,7,5642137,89,1838,2009
Harry Potter and the Half-Blood Prince,PG,250000000,8.4,77835727,153,4325,2009
Angels & Demons,PG-13,150000000,8.18,46204168,138,3527,2009
Defiance,R,50000000,7.7,123513,137,2,2009
Hotel for Dogs,PG,75000000,7.88,17012212,100,3271,2009
Paul Blart: Mall Cop,PG,26000000,7.41,31832636,91,3144,2009
My Bloody Valentine,R,14000000,7.15,21241456,101,2534,2009
Where the Wild Things Are,PG,100000000,8,32695407,101,3735,2009
Law Abiding Citizen,R,53000000,7.72,21039502,109,2890,2009
The Stepfather,PG-13,20000000,7.3,11581586,101,2734,2009
The Janky Promoters,R,10000000,7,5702,85,22,2009
Good,R,16000000,7.2,9508,96,2,2009
Sunshine Cleaning,R,5000000,6.7,219190,91,4,2009
State of Play,PG-13,60000000,7.78,14071280,127,2803,2009
17 Again,PG-13,40000000,7.6,23722310,102,3255,2009
Me and Orson Welles,PG-13,25000000,7.4,63638,114,4,2009
The Road,R,25000000,7.4,1502231,111,111,2009
Avatar,PG-13,425000000,8.63,77025481,162,3452,2009
Did You Hear About the Morgans?,PG-13,58000000,7.76,6616571,103,2718,2009
Cloudy with a Chance of Meatballs,PG,100000000,8,30304648,90,3119,2009
The Informant!,R,22000000,7.34,10464314,108,2505,2009
Love Happens,PG-13,18000000,7.26,8057010,109,1898,2009
Jennifer's Body,R,16000000,7.2,6868397,102,2702,2009
The Brothers Bloom,PG-13,20000000,7.3,90400,114,4,2009
Easy Virtue,PG-13,14000000,7.15,110443,97,10,2009
Year One,PG-13,60000000,7.78,19610304,97,3022,2009
The Proposal,PG-13,40000000,7.6,33627598,108,3056,2009
The Yellow Handkerchief,PG-13,15500000,7.19,37296,102,7,2009
Madea Goes to Jail,PG-13,17500000,7.24,41030947,103,2032,2009
Two Lovers,R,12000000,7.08,94986,110,7,2009
Duplicity,PG-13,60000000,7.78,13965110,125,2574,2009
Knowing,PG-13,50000000,7.7,24604751,121,3332,2009
"I Love You, Man",R,40000000,7.6,17810270,105,2711,2009
Planet 51,PG,60000000,7.78,12286129,91,3035,2009
The Twilight Saga: New Moon,PG-13,50000000,7.7,142839137,130,4024,2009
The Blind Side,PG-13,35000000,7.54,34119372,129,3110,2009
Inglourious Basterds,R,70000000,7.85,38054676,153,3165,2009
Shorts,PG,20000000,7.3,6410339,89,3105,2009
Post Grad,PG-13,15000000,7.18,2651996,88,1959,2009
Terminator Salvation,PG-13,200000000,8.3,42558390,115,3530,2009
Earth,G,15000000,7.18,8825760,90,1804,2009
Night at the Museum: Battle of the Smithsonian,PG,150000000,8.18,54173286,105,4096,2009
Dance Flick,PG-13,25000000,7.4,10643536,83,2450,2009
Alvin and the Chipmunks: The Squeakquel,PG,70000000,7.85,48875415,88,3700,2009
Up in the Air,R,30000000,7.48,1181450,109,15,2009
Revolutionary Road,R,45000000,7.65,189911,119,3,2009
Frost/Nixon,R,29000000,7.46,180708,122,3,2009
Inkheart,PG,60000000,7.78,7601379,106,2655,2009
Astro Boy,PG,65000000,7.81,6702923,94,3014,2009
Cirque du Freak: The Vampire's Assistant,PG-13,40000000,7.6,6293205,109,2754,2009
Amelia,PG,40000000,7.6,3904047,111,820,2009
Saw VI,R,11000000,7.04,14118444,90,3036,2009
The Soloist,PG-13,60000000,7.78,9716458,117,2024,2009
Obsessed,PG-13,20000000,7.3,28612730,108,2541,2009
The Informers,R,18000000,7.26,315000,98,482,2009
Don McKay,R,6000000,6.78,8919,87,7,2009
G-Force,PG,150000000,8.18,31706934,88,3697,2009
The Ugly Truth,R,38000000,7.58,27605576,96,2882,2009
Orphan,R,20000000,7.3,12871483,123,2750,2009
Transformers: Revenge of the Fallen,PG-13,210000000,8.32,108966307,150,4234,2009
Sherlock Holmes,PG-13,90000000,7.95,62304277,128,3626,2009
It's Complicated,R,85000000,7.93,22100820,120,2887,2009
Nine,PG-13,80000000,7.9,257232,118,4,2009
Ninja Assassin,R,50000000,7.7,13316158,99,2503,2009
Old Dogs,PG,35000000,7.54,16894511,88,3425,2009
Surrogates,PG-13,80000000,7.9,14902692,89,2951,2009
Pandorum,R,40000000,7.6,4424126,108,2506,2009
I Hope They Serve Beer in Hell,R,7000000,6.85,366909,105,120,2009
My Sister's Keeper,PG-13,27500000,7.44,12442212,109,2606,2009
Away We Go,R,21000000,7.32,130411,98,4,2009
Street Fighter: The Legend of Chun-Li,PG-13,50000000,7.7,4721110,96,1136,2009
Monsters vs. Aliens,PG,175000000,8.24,59321095,94,4104,2009
12 Rounds,PG-13,20000000,7.3,5329240,108,2331,2009
The Damned United,R,6400000,6.81,32065,98,6,2009
The Final Destination,R,40000000,7.6,27408309,82,3121,2009
Taking Woodstock,R,29000000,7.46,3457760,120,1393,2009
The Open Road,PG-13,10000000,7,13323,90,14,2009
Motherhood,PG-13,10000000,7,50081,90,48,2009
Brooklyn Rules,R,8000000,6.9,41811,99,1,2009
Up,PG,175000000,8.24,68108790,96,3766,2009
Drag Me to Hell,PG-13,30000000,7.48,15825480,99,2508,2009
Milk,R,20000000,7.3,1453844,128,36,2009
The Reader,R,32500000,7.51,168051,124,8,2009
The Wrestler,R,6000000,6.78,202714,109,4,2009
Taken,PG-13,25000000,7.4,24717037,93,3183,2009
New in Town,PG,8000000,6.9,6741530,97,1941,2009
The Hurt Locker,R,15000000,7.18,145352,131,4,2009
Funny People,R,72500000,7.86,22657780,146,3007,2009
Aliens in the Attic,PG,45000000,7.65,8008423,86,3106,2009
The Last Airbender,PG,150000000,8.18,40325019,103,3169,2010
Mao's Last Dancer,PG,18000000,7.26,199657,117,33,2010
The Social Network,PG-13,40000000,7.6,22445653,120,2771,2010
Case 39,R,27000000,7.43,5350570,109,2211,2010
Let Me In,R,20000000,7.3,5147479,116,2021,2010
The American,R,20000000,7.3,13177790,105,2823,2010
Clash of the Titans,PG-13,125000000,8.1,61235105,106,3777,2010
Why Did I Get Married Too?,PG-13,20000000,7.3,29289537,121,2155,2010
Mother and Child,R,7000000,6.85,43040,125,4,2010
The Oxford Murders,R,10000000,7,1191,104,1,2010
The Warrior's Way,R,42000000,7.62,3048665,100,1622,2010
Going the Distance,R,32000000,7.51,6884964,102,3030,2010
Machete,R,12500000,7.1,11416164,105,2670,2010
Killers,PG-13,75000000,7.88,15837266,100,2859,2010
Marmaduke,PG,50000000,7.7,11599661,87,3213,2010
Get Him to the Greek,R,40000000,7.6,17570955,109,2697,2010
Splice,R,30000000,7.48,7385277,104,2450,2010
An Education,PG-13,7500000,6.88,159017,100,4,2010
Crazy Heart,R,8500000,6.93,82664,112,4,2010
A Single Man,R,7000000,6.85,217332,99,9,2010
From Paris with Love,R,52000000,7.72,8158860,92,2722,2010
Dear John,PG-13,25000000,7.4,30468614,108,2969,2010
Alice in Wonderland,PG,200000000,8.3,116101023,108,3728,2010
Brooklyn's Finest,R,17000000,7.23,13350299,132,1936,2010
Ondine,PG-13,12000000,7.08,27497,111,5,2010
Enter the Void,NOT RATED,16000000,7.2,43651,161,3,2010
Conviction,R,12500000,7.1,102351,107,11,2010
Megamind,PG,130000000,8.11,46016833,95,3944,2010
Due Date,R,65000000,7.81,32689406,95,3355,2010
For Colored Girls,R,21000000,7.32,19497324,133,2127,2010
The Other Guys,PG-13,100000000,8,35543162,107,3651,2010
Step Up 3D,PG-13,30000000,7.48,15812311,107,2435,2010
Iron Man 2,PG-13,170000000,8.23,128122480,124,4380,2010
The Young Victoria,PG,35000000,7.54,160069,105,20,2010
The Imaginarium of Doctor Parnassus,PG-13,30000000,7.48,334183,123,48,2010
Daybreakers,R,20000000,7.3,15146692,98,2523,2010
Leap Year,PG,19000000,7.28,9202815,100,2511,2010
Youth in Revolt,R,18000000,7.26,6888334,90,1873,2010
The Killer Inside Me,R,13000000,7.11,11083,109,1,2010
Life as We Know It,PG-13,38000000,7.58,14506464,114,3150,2010
Secretariat,PG,35000000,7.54,12694770,123,3072,2010
My Soul to Take,R,25000000,7.4,6842220,107,2572,2010
It's Kind of a Funny Story,PG-13,8000000,6.9,2013406,101,742,2010
Date Night,PG-13,55000000,7.74,25207599,88,3374,2010
All Good Things,R,20000000,7.3,37172,101,2,2010
Despicable Me,PG,69000000,7.84,56397125,95,3476,2010
Predators,R,40000000,7.6,24760882,107,2669,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,155000000,8.19,24005069,113,3555,2010
The Tourist,PG-13,100000000,8,16472458,103,2756,2010
Morning Glory,PG-13,40000000,7.6,9203266,107,2518,2010
Flipped,PG,14000000,7.15,224233,90,45,2010
Resident Evil: Afterlife,R,57500000,7.76,26650264,97,3203,2010
Micmacs,R,42000000,7.62,42751,105,4,2010
The A-Team,PG-13,110000000,8.04,25669455,117,3535,2010
The Wolfman,R,150000000,8.18,31479235,103,3222,2010
Percy Jackson & the Olympians: The Lightning Thief,PG,95000000,7.98,31236067,118,3356,2010
Valentine's Day,PG-13,52000000,7.72,56260707,125,3665,2010
My Name Is Khan,PG-13,8470000,6.93,1944027,165,120,2010
Green Zone,R,100000000,8,14309295,115,3003,2010
She's Out of My League,R,20000000,7.3,9775278,104,2956,2010
Remember Me,PG-13,16000000,7.2,8089139,113,2212,2010
Our Family Wedding,PG-13,14000000,7.15,7629862,103,1605,2010
Unstoppable,PG-13,95000000,7.98,22688457,98,3207,2010
Skyline,PG-13,10000000,7,11692415,97,2880,2010
Scott Pilgrim vs. the World,PG-13,85000000,7.93,10609795,112,2818,2010
The Expendables,R,82000000,7.91,34825135,103,3270,2010
Eat Pray Love,PG-13,60000000,7.78,23104523,133,3082,2010
Bran Nue Dae,PG-13,6750000,6.83,23527,85,16,2010
The Sorcerer's Apprentice,PG,160000000,8.2,17619622,109,3504,2010
Harry Brown,R,7300000,6.86,173353,103,19,2010
Robin Hood,PG-13,210000000,8.32,36063385,140,3503,2010
Letters to Juliet,PG,30000000,7.48,13540486,105,2968,2010
Just Wright,PG,12000000,7.08,8284989,100,1831,2010
Princess Kaiulani,PG,9000000,6.95,186995,97,33,2010
The Lovely Bones,PG-13,95000000,7.98,116616,135,3,2010
The Book of Eli,R,80000000,7.9,32789494,118,3111,2010
The Spy Next Door,PG,28000000,7.45,9726056,94,2924,2010
Never Let Me Go,R,15000000,7.18,111734,103,4,2010
RED,PG-13,60000000,7.78,21761408,111,3255,2010
Jackass 3D,R,20000000,7.3,50353641,94,3081,2010
Kick-Ass,R,28000000,7.45,19828687,117,3065,2010
The Perfect Game,PG,12500000,7.1,510000,118,417,2010
Cyrus,R,7000000,6.85,181716,91,4,2010
Inception,PG-13,160000000,8.2,62785337,148,3792,2010
Standing Ovation,PG,5600000,6.75,343125,105,625,2010
TRON: Legacy,PG,200000000,8.3,44026211,125,3451,2010
Yogi Bear,PG,80000000,7.9,16411322,80,3515,2010
Black Swan,R,13000000,7.11,1443809,108,18,2010
The Fighter,R,11000000,7.04,300010,116,4,2010
The Town,R,37000000,7.57,23808032,125,2861,2010
Devil,PG-13,10000000,7,12289375,80,2809,2010
Easy A,PG-13,8000000,6.9,17734040,92,2856,2010
Vampires Suck,PG-13,20000000,7.3,12202831,82,3233,2010
Toy Story 3,G,200000000,8.3,110307189,103,4028,2010
Jonah Hex,PG-13,47000000,7.67,5379365,81,2825,2010
Wild Target,PG-13,8000000,6.9,23174,98,4,2010
Shutter Island,R,80000000,7.9,41062440,138,2991,2010
Blood Done Sign My Name,PG-13,10000000,7,82739,128,95,2010
The Good Guy,R,10000000,7,34712,90,9,2010
The Ghost Writer,PG-13,45000000,7.65,183009,128,4,2010
The Bounty Hunter,PG-13,45000000,7.65,20686423,110,3074,2010
Repo Men,R,32000000,7.51,6126170,111,2521,2010
Diary of a Wimpy Kid,PG,15000000,7.18,22126166,94,3077,2010
The Runaways,R,9500000,6.98,805115,106,244,2010
The Next Three Days,PG-13,30000000,7.48,6542779,133,2564,2010
Piranha 3D,R,24000000,7.38,10106872,88,2470,2010
The Switch,PG-13,19000000,7.28,8436713,101,2012,2010
Lottery Ticket,PG-13,17000000,7.23,10652297,99,1973,2010
Made in Dagenham,R,8000000,6.9,37563,113,3,2010
Shrek Forever After,PG,165000000,8.22,70838207,93,4359,2010
MacGruber,R,10000000,7,4043495,90,2551,2010
Oceans,G,80000000,7.9,6058958,84,1206,2010
Little Fockers,PG-13,100000000,8,30833665,98,3536,2010
True Grit,PG-13,35000000,7.54,24830443,110,3047,2010
Extraordinary Measures,PG,31000000,7.49,6012594,106,2545,2010
Legion,R,26000000,7.41,17501625,100,2476,2010
You Will Meet a Tall Dark Stranger,R,15000000,7.18,160103,98,6,2010
Hereafter,PG-13,50000000,7.7,220322,129,6,2010
Stone,R,22000000,7.34,75766,105,6,2010
The Back-up Plan,PG-13,35000000,7.54,12201710,104,3280,2010
The Losers,PG-13,25000000,7.4,9406348,97,2936,2010
The Joneses,R,10000000,7,507082,96,193,2010
I Am Love,R,10000000,7,121504,120,8,2010
Salt,PG-13,130000000,8.11,36011243,100,3612,2010
Ramona and Beezus,G,15000000,7.18,7810481,103,2719,2010
Knight and Day,PG-13,117000000,8.07,20139985,109,3098,2010
The City of Your Final Destination,PG-13,8300000,6.92,24401,117,1,2010
Tangled,PG,260000000,8.41,48767052,100,3603,2010
Burlesque,PG-13,55000000,7.74,11947744,119,3037,2010
Faster,R,24000000,7.38,8523153,98,2454,2010
World's Greatest Dad,R,10000000,7,4675,99,1,2010
Legend of the Guardians: The Owls of Ga'Hoole,PG,100000000,8,16112211,97,3575,2010
You Again,PG,20000000,7.3,8407513,105,2548,2010
Gulliver's Travels,PG,112000000,8.05,9300099,85,3089,2010
Solitary Man,R,12500000,7.1,94936,90,4,2010
Grown Ups,PG-13,75000000,7.88,40506564,102,3534,2010
The Last Station,R,18000000,7.26,73723,112,3,2010
Cop Out,R,37000000,7.57,18211126,107,3150,2010
The Crazies,R,19000000,7.28,16067552,101,2477,2010
How to Train Your Dragon,PG,165000000,8.22,43732319,98,4055,2010
Hot Tub Time Machine,R,36000000,7.56,14020502,101,2754,2010
Chloe,R,13000000,7.11,900688,96,350,2010
Ca$h,R,7000000,6.85,16469,108,27,2010
Perrier's Bounty,R,6600000,6.82,828,88,1,2010
Get Low,PG-13,7000000,6.85,88182,103,4,2010
Takers,PG-13,32000000,7.51,20512304,107,2206,2010
"Lovely, Still",PG,5000000,6.7,4584,92,2,2010
Gentlemen Broncos,PG-13,9500000,6.98,11502,90,2,2010
Sex and the City 2,R,95000000,7.98,31001870,146,3445,2010
The Last Godfather,PG-13,13400000,7.13,101779,100,58,2010
Edge of Darkness,R,60000000,7.78,17214384,117,3066,2010
Saw 3D: The Final Chapter,R,17000000,7.23,24230123,90,2808,2010
City Island,PG-13,6000000,6.78,32001,104,2,2010
Furry Vengeance,PG,35000000,7.54,6627564,92,2997,2010
Dinner for Schmucks,PG-13,69000000,7.84,23527839,114,2911,2010
Charlie St. Cloud,PG-13,44000000,7.64,12381585,99,2718,2010
Centurion,R,15000000,7.18,42826,97,12,2010
The Twilight Saga: Eclipse,PG-13,68000000,7.83,64832191,124,4468,2010
The Last Song,PG,20000000,7.3,16007426,107,2673,2010
Hop,PG,63000000,7.8,37543710,95,3579,2011
Source Code,PG-13,32000000,7.51,14812094,93,2961,2011
Larry Crowne,PG-13,30000000,7.48,13096065,98,2973,2011
Monte Carlo,PG,20000000,7.3,7453944,109,2473,2011
Machine Gun Preacher,R,30000000,7.48,45130,129,4,2011
Shark Night 3D,PG-13,25000000,7.4,8404260,90,2806,2011
Apollo 18,PG-13,5000000,6.7,8704271,86,3328,2011
X-Men: First Class,PG-13,160000000,8.2,55101604,132,3641,2011
Another Year,PG-13,8000000,6.9,111869,129,6,2011
Sanctum,R,30000000,7.48,9447930,108,2787,2011
The Roommate,PG-13,16000000,7.2,15002635,91,2534,2011
Brighton Rock,R,11000000,7.04,32774,111,12,2011
Rango,PG,135000000,8.13,38079323,107,3917,2011
The Adjustment Bureau,PG-13,50200000,7.7,21157730,106,2840,2011
Take Me Home Tonight,R,19000000,7.28,3464679,97,2003,2011
Beastly,PG-13,17000000,7.23,9851102,86,1952,2011
Tower Heist,PG-13,85000000,7.93,24025190,104,3367,2011
A Very Harold & Kumar 3D Christmas,R,20000000,7.3,12954142,90,2875,2011
Rise of the Planet of the Apes,PG-13,93000000,7.97,54806191,105,3648,2011
The Change-Up,R,52000000,7.72,13531115,112,2913,2011
Restless,PG-13,8000000,6.9,15467,91,5,2011
Love Ranch,R,25000000,7.4,44220,117,11,2011
5 Days of War,R,12000000,7.08,6254,113,2,2011
Thor,PG-13,150000000,8.18,65723338,115,3955,2011
Something Borrowed,PG-13,35000000,7.54,13945368,112,2904,2011
Jumping the Broom,PG-13,7000000,6.85,15215487,112,2035,2011
The Tempest,PG-13,20000000,7.3,42436,110,5,2011
Country Strong,PG-13,15000000,7.18,30452,117,2,2011
I Love You Phillip Morris,R,13000000,7.11,112712,98,7,2011
Casino Jack,R,12500000,7.1,34528,108,7,2011
Season of the Witch,PG-13,40000000,7.6,10612375,95,2816,2011
The Guard,R,6000000,6.78,76834,96,4,2011
Real Steel,PG-13,110000000,8.04,27319677,127,3440,2011
The Ides of March,R,23000000,7.36,10470143,101,2199,2011
Your Highness,R,50000000,7.7,9360020,102,2769,2011
Arthur,PG-13,40000000,7.6,12222756,110,3276,2011
Hanna,PG-13,30000000,7.48,12370549,111,2535,2011
Soul Surfer,PG,18000000,7.26,10601862,106,2214,2011
The Nutcracker in 3D,PG,90000000,7.95,65944,110,45,2011
Zookeeper,PG,80000000,7.9,20065617,102,3482,2011
Horrible Bosses,R,35000000,7.54,28302165,98,3040,2011
The Devil's Double,R,19100000,7.28,96414,109,5,2011
Le Havre,NOT RATED,5500000,6.74,26363,93,6,2011
The Descendants,R,20000000,7.3,1190096,115,29,2011
New Year's Eve,PG-13,26000000,7.41,13019180,113,3505,2011
The Sitter,R,25000000,7.4,9851435,81,2750,2011
The Son of No One,R,15000000,7.18,18015,90,10,2011
Contagion,PG-13,60000000,7.78,22403596,106,3222,2011
Warrior,PG-13,25000000,7.4,5242107,140,1869,2011
Bucky Larson: Born to Be a Star,R,10000000,7,1415023,97,1500,2011
The Help,PG-13,25000000,7.4,26044590,146,2534,2011
Midnight in Paris,PG-13,30000000,7.48,599003,94,6,2011
Super 8,PG-13,50000000,7.7,35451168,112,3379,2011
A Dangerous Method,R,20000000,7.3,167953,99,4,2011
Just Go with It,PG-13,80000000,7.9,30514732,117,3548,2011
The Eagle,PG-13,25000000,7.4,8684464,114,2296,2011
Mars Needs Moms,PG,150000000,8.18,6914488,88,3117,2011
Red Riding Hood,PG-13,42000000,7.62,14005335,100,3030,2011
Jack and Jill,PG,79000000,7.9,25003575,91,3438,2011
Immortals,R,75000000,7.88,32206425,110,3112,2011
J. Edgar,R,35000000,7.54,11217324,137,1910,2011
Final Destination 5,R,40000000,7.6,18031396,92,3155,2011
30 Minutes or Less,R,28000000,7.45,13330118,83,2888,2011
Priest,PG-13,60000000,7.78,14953664,87,2864,2011
Bridesmaids,R,32500000,7.51,26247410,125,2918,2011
Attack the Block,R,13000000,7.11,139506,88,8,2011
The Green Hornet,PG-13,110000000,8.04,33526876,119,3584,2011
The Dilemma,PG-13,70000000,7.85,17816230,111,2940,2011
Everything Must Go,R,5000000,6.7,791676,97,218,2011
The Big Year,PG,41000000,7.61,3251884,100,2150,2011
Rio,G,90000000,7.95,39225962,96,3827,2011
Scream 4,R,40000000,7.6,18692090,111,3305,2011
The Conspirator,PG-13,25000000,7.4,3506602,122,707,2011
Winnie the Pooh,G,30000000,7.48,7857076,63,2405,2011
Salvation Boulevard,R,5500000,6.74,7208,96,4,2011
Sherlock Holmes: A Game of Shadows,PG-13,125000000,8.1,39637079,129,3703,2011
Alvin and the Chipmunks: Chipwrecked,G,80000000,7.9,23244744,87,3723,2011
Young Adult,R,12000000,7.08,310263,94,8,2011
I Don't Know How She Does It,PG-13,24000000,7.38,4402201,89,2476,2011
Drive,R,15000000,7.18,11340461,100,2886,2011
Green Lantern,PG-13,200000000,8.3,53174303,114,3816,2011
The Tree of Life,PG-13,35000000,7.54,372920,139,4,2011
I Am Number Four,PG-13,50000000,7.7,19449893,109,3154,2011
Unknown,PG-13,40000000,7.6,21856389,113,3043,2011
"Big Mommas: Like Father, Like Son",PG-13,32000000,7.51,16300803,107,2821,2011
Cedar Rapids,R,10000000,7,302968,87,15,2011
The Lincoln Lawyer,R,40000000,7.6,13206453,118,2707,2011
Paul,R,40000000,7.6,13043310,104,2802,2011
Limitless,PG-13,27000000,7.43,18907302,105,2756,2011
Welcome to the Rileys,R,10000000,7,42145,110,10,2011
Carnage,R,25000000,7.4,79795,80,5,2011
Fright Night,R,30000000,7.48,8114388,106,3114,2011
Spy Kids: All the Time in the World in 4D,PG,27000000,7.43,11644672,89,3295,2011
One Day,PG-13,15000000,7.18,5079566,107,1721,2011
The Beaver,PG-13,21000000,7.32,107577,91,22,2011
Polisse,NOT RATED,8900000,6.95,16568,127,3,2011
Pirates of the Caribbean: On Stranger Tides,PG-13,250000000,8.4,90151958,136,4155,2011
Mission: Impossible - Ghost Protocol,PG-13,145000000,8.16,12785204,133,425,2011
