title,mpaa_rating,budget,log_budget,opening_weekend,runtime,theaters,year
The Prestige,PG-13,40000000,7.6,14801808,130,2281,2006
Flicka,PG,15000000,7.18,7703551,95,2877,2006
Fur: An Imaginary Portrait of Diane Arbus,R,16800000,7.23,28815,122,4,2006
The Sentinel,PG-13,60000000,7.78,14367854,108,2822,2006
Silent Hill,R,50000000,7.7,20152598,125,2926,2006
American Dreamz,PG-13,17000000,7.23,3667420,107,1500,2006
Friends with Money,R,6500000,6.81,589332,88,28,2006
Monster House,PG,75000000,7.88,22217226,91,3553,2006
Lady in the Water,PG-13,75000000,7.88,18044396,110,3235,2006
My Super Ex-Girlfriend,PG-13,30000000,7.48,8603460,95,2702,2006
Clerks II,R,5000000,6.7,10061132,97,2150,2006
Night at the Museum,PG,110000000,8.04,30433781,108,3685,2006
We Are Marshall,PG,65000000,7.81,6114264,131,2606,2006
Deck the Halls,PG,51000000,7.71,12001256,93,3205,2006
The Fountain,PG-13,35000000,7.54,3768702,96,1472,2006
For Your Consideration,PG-13,12000000,7.08,372012,86,23,2006
Flyboys,PG-13,60000000,7.78,6004219,140,2033,2006
All the King's Men,PG-13,55000000,7.74,3672366,128,1514,2006
Jackass Number Two,R,11000000,7.04,29002002,92,3059,2006
Click,PG-13,82500000,7.92,40011365,107,3749,2006
Peaceful Warrior,PG-13,10000000,7,80602,120,10,2006
Krrish,NOT RATED,10000000,7,643000,154,59,2006
Bobby,R,14000000,7.15,69039,117,2,2006
Doogal,G,20000000,7.3,3605899,78,2318,2006
Running Scared,R,17000000,7.23,3381974,122,1611,2006
Madea's Family Reunion,PG-13,10000000,7,30030661,107,2194,2006
Inside Man,R,50000000,7.7,28954945,129,2818,2006
Stay Alive,PG-13,20000000,7.3,10726406,85,2009,2006
Larry the Cable Guy: Health Inspector,PG-13,17000000,7.23,6922767,89,1710,2006
Edmond,R,10000000,7,19253,82,2,2006
Invincible,PG,40000000,7.6,17031122,105,2917,2006
Beerfest,R,17500000,7.24,7031228,110,2964,2006
Idlewild,R,15000000,7.18,5745780,121,973,2006
Severance,R,10000000,7,8316,96,2,2006
Dreamgirls,PG-13,75000000,7.88,378950,130,3,2006
Rang De Basanti,NOT RATED,5300000,6.72,701666,157,61,2006
The Lost City,R,9600000,6.98,191560,144,18,2006
X-Men: The Last Stand,PG-13,210000000,8.32,102750665,104,3690,2006
Big Momma's House 2,PG-13,40000000,7.6,27736056,99,3261,2006
Nanny McPhee,PG,25000000,7.4,14503650,97,1995,2006
Catch a Fire,PG-13,14000000,7.15,2026997,101,1306,2006
Running with Scissors,R,12000000,7.08,226108,116,8,2006
Saw III,R,10000000,7,33610391,108,3167,2006
Stick It,PG-13,20000000,7.3,10803610,103,2038,2006
United 93,R,18000000,7.26,11478360,111,1795,2006
Akeelah and the Bee,PG,8000000,6.9,6011585,112,2195,2006
Miami Vice,R,135000000,8.13,25723815,134,3021,2006
The Ant Bully,PG,45000000,7.65,8432465,88,3050,2006
A Scanner Darkly,R,20000000,7.3,391672,100,17,2006
Superman Returns,PG-13,232000000,8.37,52535096,154,4065,2006
Open Season,PG,85000000,7.93,23624548,83,3833,2006
School for Scoundrels,PG-13,20000000,7.3,8602333,100,3004,2006
The Devil Wears Prada,PG-13,35000000,7.54,27537244,109,2847,2006
Ice Age: The Meltdown,PG,75000000,7.88,68033544,91,3964,2006
Basic Instinct 2,R,70000000,7.85,3201420,114,1453,2006
ATL,PG-13,17000000,7.23,11554404,105,1602,2006
Slither,R,15250000,7.18,3880270,95,1945,2006
Knocked Up,R,27500000,7.44,30690990,129,2871,2007
Gracie,PG-13,9000000,6.95,1355904,95,1164,2007
The Oh in Ohio,R,5000000,6.7,68184,88,14,2007
Letters from Iwo Jima,R,13000000,7.11,89097,141,5,2007
Because I Said So,PG-13,39000000,7.59,13122865,102,2526,2007
The Messengers,PG-13,16000000,7.2,14713321,90,2528,2007
Zodiac,R,85000000,7.93,13395610,157,2362,2007
Wild Hogs,PG-13,60000000,7.78,39699023,100,3287,2007
Black Snake Moan,R,15000000,7.18,4143199,116,1252,2007
Lars and the Real Girl,PG-13,12500000,7.1,90418,106,7,2007
Bee Movie,PG,150000000,8.18,38021044,91,3928,2007
American Gangster,R,100000000,8,43565135,157,3054,2007
The Bourne Ultimatum,PG-13,130000000,8.11,69283690,115,3660,2007
Hot Rod,PG-13,25000000,7.4,5310711,88,2607,2007
Sicko,PG-13,9000000,6.95,68969,123,1,2007
Transformers,PG-13,151000000,8.18,70502384,144,4011,2007
License to Wed,PG-13,35000000,7.54,10422258,91,2604,2007
Lake of Fire,UNRATED,6000000,6.78,2559,152,1,2007
Spider-Man 3,PG-13,258000000,8.41,151116516,139,4252,2007
Lucky You,PG-13,55000000,7.74,2710445,124,2525,2007
The Reaping,R,40000000,7.6,10025203,99,2603,2007
Children of Men,R,76000000,7.88,501003,109,16,2007
Perfume: The Story of a Murderer,R,63700000,7.8,37079,147,3,2007
Happily N'Ever After,PG,47000000,7.67,6608244,87,2381,2007
Freedom Writers,PG-13,21000000,7.32,9405582,123,1360,2007
Code Name: The Cleaner,PG-13,20000000,7.3,4244142,84,1736,2007
